test_id,group_id,group_name,group_type,smiles,formula,inchi,python_success,python_groups,python_n_groups,python_error
14,31,Specificity test for group 31,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S,"InChI=1S/C10H2F20O4S/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(34-10(28,29)30,5(15,16)8(23,24)25)9(26,27)35(31,32)33/h1H,(H,31,32,33)",True,"[7, 10, 31, 36, 48]",5,
15,36,Specificity test for group 36,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S,"InChI=1S/C10H2F20O4S/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(34-10(28,29)30,5(15,16)8(23,24)25)9(26,27)35(31,32)33/h1H,(H,31,32,33)",True,"[7, 10, 31, 36, 48]",5,
16,8,Specificity test for group 8,Specificity,O=S(=O)(O)C(F)(F)C(C(F)(F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H2F20O6S2,"InChI=1S/C10H2F20O6S2/c11-3(12,7(21,22)23)1(5(15,16)17,6(18,19)20)2(4(13,14)8(24,25)26,9(27,28)37(31,32)33)10(29,30)38(34,35)36/h(H,31,32,33)(H,34,35,36)",True,"[7, 8, 36, 48]",4,
17,37,Specificity test for group 37,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)SO)C(F)(F)C(F)(F)F,C10H2F20OS,"InChI=1S/C10H2F20OS/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(8(23,24)25,10(29,30)32-31)5(15,16)9(26,27)28/h1,31H",True,"[37, 48]",2,
18,13,Specificity test for group 13,Specificity,O=[PH](O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O2P,"InChI=1S/C10H2F21O2P/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)34(32)33)4(13,14)9(27,28)29/h34H,(H,32,33)",True,"[13, 40, 48]",3,
19,40,Specificity test for group 40,Specificity,O=[PH](O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O2P,"InChI=1S/C10H2F21O2P/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)34(32)33)4(13,14)9(27,28)29/h34H,(H,32,33)",True,"[13, 40, 48]",3,
20,12,Specificity test for group 12,Specificity,O=P(O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O3P,"InChI=1S/C10H2F21O3P/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)10(30,31)35(32,33)34/h(H2,32,33,34)",True,"[12, 39, 48]",3,
21,39,Specificity test for group 39,Specificity,O=P(O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O3P,"InChI=1S/C10H2F21O3P/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)10(30,31)35(32,33)34/h(H2,32,33,34)",True,"[12, 39, 48]",3,
22,43,Specificity test for group 43,Specificity,O=S(=O)(NC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C10H3F22NO2S,"InChI=1S/C10H2F22NO2S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)33-36(34,35)10(30,31)32/h36H,(H,33,34,35)",True,"[23, 43, 47, 48]",4,
23,44,Specificity test for group 44,Specificity,FC(F)(F)C(F)(C(F)(F)c1ncc[nH]1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C10H3F15N2,"InChI=1S/C10H3F15N2/c11-4(12,3-26-1-2-27-3)6(13,10(23,24)25)5(7(14,15)16,8(17,18)19)9(20,21)22/h1-2H,(H,26,27)",True,"[22, 44, 48, 51]",4,
24,38,Specificity test for group 38,Specificity,[H]C(F)(S(=O)O)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H3F19O2S,"InChI=1S/C10H3F19O2S/c11-1(5(13,14)15)3(7(18,19)20,8(21,22)23)4(9(24,25)26,2(12)32(30)31)6(16,17)10(27,28)29/h1-2H,(H,30,31)",True,"[38, 48]",2,
25,7,Specificity test for group 7,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)S(=O)(=O)O,C10H3F19O3S,"InChI=1S/C10H3F19O3S/c11-1(5(13,14)15)3(7(18,19)20,8(21,22)23)4(9(24,25)26,2(12)33(30,31)32)6(16,17)10(27,28)29/h1-2H,(H,30,31,32)",True,"[7, 36, 48]",3,
26,36,Specificity test for group 36,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)S(=O)(=O)O,C10H3F19O3S,"InChI=1S/C10H3F19O3S/c11-1(5(13,14)15)3(7(18,19)20,8(21,22)23)4(9(24,25)26,2(12)33(30,31)32)6(16,17)10(27,28)29/h1-2H,(H,30,31,32)",True,"[7, 36, 48]",3,
27,47,Specificity test for group 47,Specificity,[H]C(F)(F)C(NC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20N,"InChI=1S/C10H3F20N/c11-1(5(14,15)16)3(7(19,20)21,8(22,23)24)4(2(12)13,31-10(28,29)30)6(17,18)9(25,26)27/h1-2,31H",True,"[47, 48]",2,
28,40,Specificity test for group 40,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)[PH](=O)O)C(F)(F)C(F)(F)F,C10H3F20O2P,"InChI=1S/C10H3F20O2P/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(8(23,24)25,10(29,30)33(31)32)5(15,16)9(26,27)28/h1,33H,(H,31,32)",True,"[40, 48]",2,
29,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)7(13,14)8(15,16)9(17,18)10(19,20)21/h1-4H",True,"[22, 45, 48, 51]",4,
30,22,Specificity test for group 22,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)7(13,14)8(15,16)9(17,18)10(19,20)21/h1-4H",True,"[22, 45, 48, 51]",4,
31,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)7(13,14)8(15,16)9(17,18)10(19,20)21/h1-4H",True,"[22, 45, 48, 51]",4,
32,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)7(13,14)8(15,16)9(17,18)10(19,20)21/h1-4H",True,"[22, 45, 48, 51]",4,
33,45,Specificity test for group 45,Specificity,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)7(8(13,14)15,9(16,17)18)10(19,20)21/h1-4H",True,"[22, 45, 51]",3,
34,45,Specificity test for group 45,Specificity,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N,"InChI=1S/C10H4F11N/c11-6(12,5-3-1-2-4-22-5)8(14,15)7(13,9(16,17)18)10(19,20)21/h1-4H",True,"[22, 45, 48, 51]",4,
35,39,Specificity test for group 39,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)P(=O)(O)O,C10H4F19O3P,"InChI=1S/C10H4F19O3P/c11-1(5(13,14)15)3(7(18,19)20,8(21,22)23)4(9(24,25)26,2(12)33(30,31)32)6(16,17)10(27,28)29/h1-2H,(H2,30,31,32)",True,"[39, 48]",2,
36,43,Specificity test for group 43,Specificity,[H]C(F)(F)C(NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20NO2S,"InChI=1S/C10H4F20NO2S/c11-1(5(14,15)16)3(7(19,20)21,8(22,23)24)4(2(12)13,6(17,18)9(25,26)27)31-34(32,33)10(28,29)30/h1-2,34H,(H,31,32,33)",True,"[43, 47, 48]",3,
37,47,Specificity test for group 47,Specificity,[H]C(F)(F)C(NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20NO2S,"InChI=1S/C10H4F20NO2S/c11-1(5(14,15)16)3(7(19,20)21,8(22,23)24)4(2(12)13,6(17,18)9(25,26)27)31-34(32,33)10(28,29)30/h1-2,34H,(H,31,32,33)",True,"[43, 47, 48]",3,
38,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(13,10(18,19)20)9(16,17)8(14,15)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 48, 51]",4,
39,45,Specificity test for group 45,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(13,10(18,19)20)9(16,17)8(14,15)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 48, 51]",4,
40,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(13,10(18,19)20)9(16,17)8(14,15)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 48, 51]",4,
41,22,Specificity test for group 22,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(9(15,16)17,10(18,19)20)8(13,14)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 51]",3,
42,45,Specificity test for group 45,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(9(15,16)17,10(18,19)20)8(13,14)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 51]",3,
43,51,Specificity test for group 51,Specificity,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N,"InChI=1S/C10H5F10N/c11-6(12)7(9(15,16)17,10(18,19)20)8(13,14)5-3-1-2-4-21-5/h1-4,6H",True,"[22, 45, 51]",3,
44,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9,"InChI=1S/C10H5F9/c11-7(9(14,15)16,6-4-2-1-3-5-6)8(12,13)10(17,18)19/h1-5H",True,"[22, 48, 51]",3,
45,22,Specificity test for group 22,Specificity,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9,"InChI=1S/C10H5F9/c11-7(9(14,15)16,6-4-2-1-3-5-6)8(12,13)10(17,18)19/h1-5H",True,"[22, 48, 51]",3,
46,51,Specificity test for group 51,Specificity,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9,"InChI=1S/C10H5F9/c11-7(9(14,15)16,6-4-2-1-3-5-6)8(12,13)10(17,18)19/h1-5H",True,"[22, 48, 51]",3,
47,22,Specificity test for group 22,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2,"InChI=1S/C10H7F11N2/c11-3-7(4(12)13,5(14)15)9(18,10(19,20)21)8(16,17)6-22-1-2-23-6/h1-2,4-5H,3H2,(H,22,23)",True,"[22, 44, 48, 51]",4,
48,44,Specificity test for group 44,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2,"InChI=1S/C10H7F11N2/c11-3-7(4(12)13,5(14)15)9(18,10(19,20)21)8(16,17)6-22-1-2-23-6/h1-2,4-5H,3H2,(H,22,23)",True,"[22, 44, 48, 51]",4,
49,51,Specificity test for group 51,Specificity,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2,"InChI=1S/C10H7F11N2/c11-3-7(4(12)13,5(14)15)9(18,10(19,20)21)8(16,17)6-22-1-2-23-6/h1-2,4-5H,3H2,(H,22,23)",True,"[22, 44, 48, 51]",4,
50,15,Specificity test for group 15,Specificity,OCCCC(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C10H7F15O,"InChI=1S/C10H7F15O/c11-4(12,2-1-3-26)6(13,10(23,24)25)5(7(14,15)16,8(17,18)19)9(20,21)22/h26H,1-3H2",True,"[15, 48]",2,
51,29,Specificity test for group 29,Specificity,OC(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O,"InChI=1S/C10HF21O/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)32)4(13,14)9(27,28)29/h32H",True,"[14, 29, 48]",3,
52,11,Specificity test for group 11,Specificity,O=S(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O2S,"InChI=1S/C10HF21O2S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)34(32)33)4(13,14)9(27,28)29/h(H,32,33)",True,"[11, 38, 48]",3,
53,38,Specificity test for group 38,Specificity,O=S(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O2S,"InChI=1S/C10HF21O2S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)34(32)33)4(13,14)9(27,28)29/h(H,32,33)",True,"[11, 38, 48]",3,
54,6,Specificity test for group 6,Specificity,O=S(=O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O3S,"InChI=1S/C10HF21O3S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)10(30,31)35(32,33)34/h(H,32,33,34)",True,"[6, 7, 36, 48]",4,
55,36,Specificity test for group 36,Specificity,O=S(=O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O3S,"InChI=1S/C10HF21O3S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)10(30,31)35(32,33)34/h(H,32,33,34)",True,"[6, 7, 36, 48]",4,
56,9,Specificity test for group 9,Specificity,O=S(=O)(O)C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H3F21O4S,"InChI=1S/C10HF21O4S/c11-3(12,7(21,22)23)1(5(15,16)17,6(18,19)20)2(35-10(29,30)31,4(13,14)8(24,25)26)9(27,28)36(32,33)34/h(H,32,33,34)",True,"[6, 7, 9, 10, 31, 36, 48]",7,
57,37,Specificity test for group 37,Specificity,OSC(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21OS,"InChI=1S/C10HF21OS/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)33-32)4(13,14)9(27,28)29/h32H",True,"[37, 48]",2,
58,47,Specificity test for group 47,Specificity,FC(F)(F)NC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H3F22N,"InChI=1S/C10HF22N/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,33-10(30,31)32)4(13,14)9(27,28)29/h33H",True,"[23, 47, 48]",3,
59,35,Specificity test for group 35,Specificity,O=C(Cl)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11ClF21O,"InChI=1S/C11ClF21O/c12-1(34)2(13,14)3(7(19,20)21,5(15,16)10(28,29)30)4(8(22,23)24,9(25,26)27)6(17,18)11(31,32)33",True,"[35, 48]",2,
60,27,Specificity test for group 27,Specificity,O=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11H2F22O,"InChI=1S/C11F22O/c12-3(13,14)1(34)2(7(19,20)21,5(15,16)10(28,29)30)4(8(22,23)24,9(25,26)27)6(17,18)11(31,32)33",True,"[27, 28, 30, 48]",4,
61,30,Specificity test for group 30,Specificity,O=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11H2F22O,"InChI=1S/C11F22O/c12-3(13,14)1(34)2(7(19,20)21,5(15,16)10(28,29)30)4(8(22,23)24,9(25,26)27)6(17,18)11(31,32)33",True,"[27, 28, 30, 48]",4,
62,42,Specificity test for group 42,Specificity,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(I)C(F)(F)F,C11H2F23I,"InChI=1S/C11F23I/c12-3(13,9(26,27)28)1(6(17,18)19,5(16,35)11(32,33)34)2(7(20,21)22,8(23,24)25)4(14,15)10(29,30)31",True,"[21, 25, 42, 48]",4,
63,24,Specificity test for group 24,Specificity,FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C11F25N,"InChI=1S/C11F25N/c12-2(6(22,23)24,1(3(13,14)15,4(16,17)18)5(19,20)21)9(31,32)37(10(33,34)7(25,26)27)11(35,36)8(28,29)30",True,"[24, 47, 48]",3,
64,35,Specificity test for group 35,Specificity,[H]C(F)(C(=O)Cl)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H2ClF19O,"InChI=1S/C11H2ClF19O/c12-2(32)1(13)4(8(20,21)22,7(18,19)11(29,30)31)5(9(23,24)25,10(26,27)28)3(14)6(15,16)17/h1,3H",True,"[35, 48]",2,
65,28,Specificity test for group 28,Specificity,[H]C(F)(F)C(C(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H4F20O,"InChI=1S/C11H2F20O/c12-1(6(15,16)17)5(9(23,24)25,10(26,27)28)4(3(13)14,2(32)7(18,19)20)8(21,22)11(29,30)31/h1,3H",True,"[28, 30, 48]",3,
66,30,Specificity test for group 30,Specificity,[H]C(F)(F)C(C(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H4F20O,"InChI=1S/C11H2F20O/c12-1(6(15,16)17)5(9(23,24)25,10(26,27)28)4(3(13)14,2(32)7(18,19)20)8(21,22)11(29,30)31/h1,3H",True,"[28, 30, 48]",3,
67,2,Specificity test for group 2,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)F,C11H2F20O2,"InChI=1S/C11H2F20O2/c12-1(5(15,16)17)3(8(20,21)22,9(23,24)25)6(10(26,27)28,4(13,14)2(32)33)7(18,19)11(29,30)31/h1H,(H,32,33)",True,"[2, 33, 48]",3,
68,33,Specificity test for group 33,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)F,C11H2F20O2,"InChI=1S/C11H2F20O2/c12-1(5(15,16)17)3(8(20,21)22,9(23,24)25)6(10(26,27)28,4(13,14)2(32)33)7(18,19)11(29,30)31/h1H,(H,32,33)",True,"[2, 33, 48]",3,
