test_id,expected_group,expected_group_name,python_groups,python_group_names,html_groups,html_group_names,exact_match,python_success,missing_in_html,missing_in_html_names,extra_in_html,extra_in_html_names,smiles,formula
12,7,Specificity test for group 7,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S
12,7,Specificity test for group 7,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S
12,7,Specificity test for group 7,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,"[7, 10, 21, 31, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 10:Polyfluoroalkylether sulfonic acid; 21:Semi-fluorinated alkanes; 31:ether; 36:sulfonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S
16,8,Specificity test for group 8,"[7, 8, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 8:Perfluoroalkyl disulfonic acids; 36:sulfonic acid; 48:alkane,"[7, 8, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 8:Perfluoroalkyl disulfonic acids; 36:sulfonic acid; 48:alkane,True,True,[],,[],,O=S(=O)(O)C(F)(F)C(C(F)(F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H2F20O6S2
17,37,Specificity test for group 37,"[21, 37, 48]",21:Semi-fluorinated alkanes; 37:sulfenic acid; 48:alkane,"[21, 37, 48]",21:Semi-fluorinated alkanes; 37:sulfenic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)SO)C(F)(F)C(F)(F)F,C10H2F20OS
18,13,Specificity test for group 13,"[13, 40, 48]",13:Perfluoroalkyl phosphinic acids; 40:phosphinic acid; 48:alkane,"[13, 40, 48]",13:Perfluoroalkyl phosphinic acids; 40:phosphinic acid; 48:alkane,True,True,[],,[],,O=[PH](O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O2P
18,13,Specificity test for group 13,"[13, 40, 48]",13:Perfluoroalkyl phosphinic acids; 40:phosphinic acid; 48:alkane,"[13, 40, 48]",13:Perfluoroalkyl phosphinic acids; 40:phosphinic acid; 48:alkane,True,True,[],,[],,O=[PH](O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O2P
20,12,Specificity test for group 12,"[12, 39, 48]",12:Perfluoroalkyl phosphonic acids; 39:phosphonic acid; 48:alkane,"[12, 39, 48]",12:Perfluoroalkyl phosphonic acids; 39:phosphonic acid; 48:alkane,True,True,[],,[],,O=P(O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O3P
20,12,Specificity test for group 12,"[12, 39, 48]",12:Perfluoroalkyl phosphonic acids; 39:phosphonic acid; 48:alkane,"[12, 39, 48]",12:Perfluoroalkyl phosphonic acids; 39:phosphonic acid; 48:alkane,True,True,[],,[],,O=P(O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F21O3P
22,43,Specificity test for group 43,"[23, 43, 47, 48]",23:Perfluoroalkane; 43:sulfonamide; 47:amine; 48:alkane,"[23, 43, 47, 48]",23:Perfluoroalkane; 43:sulfonamide; 47:amine; 48:alkane,True,True,[],,[],,O=S(=O)(NC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,C10H3F22NO2S
23,44,Specificity test for group 44,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(C(F)(F)c1ncc[nH]1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C10H3F15N2
24,38,Specificity test for group 38,"[21, 38, 48]",21:Semi-fluorinated alkanes; 38:sulfinic acid; 48:alkane,"[21, 38, 48]",21:Semi-fluorinated alkanes; 38:sulfinic acid; 48:alkane,True,True,[],,[],,[H]C(F)(S(=O)O)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H3F19O2S
25,7,Specificity test for group 7,"[7, 21, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 21:Semi-fluorinated alkanes; 36:sulfonic acid; 48:alkane,"[7, 21, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 21:Semi-fluorinated alkanes; 36:sulfonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)S(=O)(=O)O,C10H3F19O3S
25,7,Specificity test for group 7,"[7, 21, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 21:Semi-fluorinated alkanes; 36:sulfonic acid; 48:alkane,"[7, 21, 36, 48]",7:Polyfluoroalkyl sulfonic acid; 21:Semi-fluorinated alkanes; 36:sulfonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)S(=O)(=O)O,C10H3F19O3S
27,47,Specificity test for group 47,"[47, 48]",47:amine; 48:alkane,"[47, 48]",47:amine; 48:alkane,True,True,[],,[],,[H]C(F)(F)C(NC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20N
28,40,Specificity test for group 40,"[40, 48]",40:phosphinic acid; 48:alkane,"[40, 48]",40:phosphinic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)[PH](=O)O)C(F)(F)C(F)(F)F,C10H3F20O2P
29,45,Specificity test for group 45,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N
29,45,Specificity test for group 45,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N
29,45,Specificity test for group 45,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N
29,45,Specificity test for group 45,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N
33,45,Specificity test for group 45,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H4F11N
34,45,Specificity test for group 45,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H4F11N
35,39,Specificity test for group 39,"[39, 48]",39:phosphonic acid; 48:alkane,"[39, 48]",39:phosphonic acid; 48:alkane,True,True,[],,[],,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C([H])(F)P(=O)(O)O,C10H4F19O3P
36,43,Specificity test for group 43,"[43, 47, 48]",43:sulfonamide; 47:amine; 48:alkane,"[43, 47, 48]",43:sulfonamide; 47:amine; 48:alkane,True,True,[],,[],,[H]C(F)(F)C(NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20NO2S
36,43,Specificity test for group 43,"[43, 47, 48]",43:sulfonamide; 47:amine; 48:alkane,"[43, 47, 48]",43:sulfonamide; 47:amine; 48:alkane,True,True,[],,[],,[H]C(F)(F)C(NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H5F20NO2S
38,22,Specificity test for group 22,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N
38,22,Specificity test for group 22,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N
38,22,Specificity test for group 22,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,"[22, 45, 48, 51]",22:Side-chain fluorinated aromatics; 45:azine; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)c1ccccn1,C10H5F10N
41,22,Specificity test for group 22,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N
41,22,Specificity test for group 22,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N
41,22,Specificity test for group 22,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,"[22, 45, 51]",22:Side-chain fluorinated aromatics; 45:azine; 51:Side-chain aromatics,True,True,[],,[],,[H]C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)c1ccccn1,C10H5F10N
44,51,Specificity test for group 51,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9
44,51,Specificity test for group 51,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9
44,51,Specificity test for group 51,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,"[22, 48, 51]",22:Side-chain fluorinated aromatics; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,FC(F)(F)C(F)(F)C(F)(c1ccccc1)C(F)(F)F,C10H5F9
47,22,Specificity test for group 22,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2
47,22,Specificity test for group 22,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2
47,22,Specificity test for group 22,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,"[22, 44, 48, 51]",22:Side-chain fluorinated aromatics; 44:azole; 48:alkane; 51:Side-chain aromatics,True,True,[],,[],,[H]C([H])(F)C(C([H])(F)F)(C([H])(F)F)C(F)(C(F)(F)F)C(F)(F)c1ncc[nH]1,C10H7F11N2
50,15,Specificity test for group 15,"[15, 48]",15:fluorotelomer alcohols; 48:alkane,"[15, 21, 48]",15:fluorotelomer alcohols; 21:Semi-fluorinated alkanes; 48:alkane,False,True,[],,[21],21:Semi-fluorinated alkanes,OCCCC(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C10H7F15O
51,29,Specificity test for group 29,"[14, 21, 29, 48]",14:Perfluoroalkyl alcohols; 21:Semi-fluorinated alkanes; 29:alcohol; 48:alkane,"[14, 21, 29, 48]",14:Perfluoroalkyl alcohols; 21:Semi-fluorinated alkanes; 29:alcohol; 48:alkane,True,True,[],,[],,OC(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O
52,11,Specificity test for group 11,"[11, 38, 48]",11:Perfluoroalkyl sulfinic acids; 38:sulfinic acid; 48:alkane,"[11, 38, 48]",11:Perfluoroalkyl sulfinic acids; 38:sulfinic acid; 48:alkane,True,True,[],,[],,O=S(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O2S
52,11,Specificity test for group 11,"[11, 38, 48]",11:Perfluoroalkyl sulfinic acids; 38:sulfinic acid; 48:alkane,"[11, 38, 48]",11:Perfluoroalkyl sulfinic acids; 38:sulfinic acid; 48:alkane,True,True,[],,[],,O=S(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O2S
54,6,Specificity test for group 6,"[6, 7, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 36:sulfonic acid; 48:alkane,"[6, 7, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 36:sulfonic acid; 48:alkane,True,True,[],,[],,O=S(=O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O3S
54,6,Specificity test for group 6,"[6, 7, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 36:sulfonic acid; 48:alkane,"[6, 7, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 36:sulfonic acid; 48:alkane,True,True,[],,[],,O=S(=O)(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21O3S
56,9,Specificity test for group 9,"[6, 7, 9, 10, 31, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 9:Perfluoroalkylether sulfonic acids; 10:Polyfluoroalkylether sulfonic acid; 31:ether; 36:sulfonic acid; 48:alkane,"[6, 7, 9, 10, 31, 36, 48]",6:Perfluoroalkyl sulfonic acids; 7:Polyfluoroalkyl sulfonic acid; 9:Perfluoroalkylether sulfonic acids; 10:Polyfluoroalkylether sulfonic acid; 31:ether; 36:sulfonic acid; 48:alkane,True,True,[],,[],,O=S(=O)(O)C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H3F21O4S
57,37,Specificity test for group 37,"[37, 48]",37:sulfenic acid; 48:alkane,"[37, 48]",37:sulfenic acid; 48:alkane,True,True,[],,[],,OSC(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10HF21OS
58,47,Specificity test for group 47,"[23, 47, 48]",23:Perfluoroalkane; 47:amine; 48:alkane,"[23, 47, 48]",23:Perfluoroalkane; 47:amine; 48:alkane,True,True,[],,[],,FC(F)(F)NC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H3F22N
59,35,Specificity test for group 35,"[35, 48]",35:acyl halide; 48:alkane,"[35, 48]",35:acyl halide; 48:alkane,True,True,[],,[],,O=C(Cl)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11ClF21O
60,27,Specificity test for group 27,"[27, 28, 30, 48]",27:Perfluoroalkyl ketones; 28:Semi-fluoroalkyl ketones; 30:ketone; 48:alkane,"[27, 28, 30, 48]",27:Perfluoroalkyl ketones; 28:Semi-fluoroalkyl ketones; 30:ketone; 48:alkane,True,True,[],,[],,O=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11H2F22O
60,27,Specificity test for group 27,"[27, 28, 30, 48]",27:Perfluoroalkyl ketones; 28:Semi-fluoroalkyl ketones; 30:ketone; 48:alkane,"[27, 28, 30, 48]",27:Perfluoroalkyl ketones; 28:Semi-fluoroalkyl ketones; 30:ketone; 48:alkane,True,True,[],,[],,O=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C11H2F22O
62,42,Specificity test for group 42,"[21, 25, 42, 48]",21:Semi-fluorinated alkanes; 25:Perfluoroalkyl iodides; 42:iodide; 48:alkane,"[21, 25, 42, 48]",21:Semi-fluorinated alkanes; 25:Perfluoroalkyl iodides; 42:iodide; 48:alkane,True,True,[],,[],,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(I)C(F)(F)F,C11H2F23I
63,24,Specificity test for group 24,"[24, 47, 48]",24:Perfluoroalkyl-tert-amines; 47:amine; 48:alkane,"[24, 47, 48]",24:Perfluoroalkyl-tert-amines; 47:amine; 48:alkane,True,True,[],,[],,FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C11F25N
64,35,Specificity test for group 35,"[35, 48]",35:acyl halide; 48:alkane,"[35, 48]",35:acyl halide; 48:alkane,True,True,[],,[],,[H]C(F)(C(=O)Cl)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C11H2ClF19O
